,Category,x
479,boil,42
1495,disposable,42
1814,fingerling,42
1864,flesh,42
3008,masala,42
4121,relish,42
4240,rose,42
4291,safflower,42
4305,salata,42
4368,savory,42
4697,sole,42
636,bulgur,41
1215,covered,41
1881,fluid,41
2287,heated,41
2591,key,41
2921,make,41
3448,orecchiette,41
3583,pasilla,41
5160,third,41
112,amaretti,40
320,basic,40
819,cast,40
1302,cube,40
2174,grind,40
2948,mandoline,40
3228,mung,40
4953,summer,40
4991,swordfish,40
5629,wiped,40
18,according,39
301,bar,39
571,breakfast,39
877,challah,39
1067,coating,39
1107,coloring,39
1349,curl,39
1368,daikon,39
2400,iceberg,39
3401,oise,39
3405,okra,39
3531,palm,39
4175,riesling,39
5061,tapioca,39
5310,tube,39
5433,usually,39
889,charcoal,38
936,chick,38
1548,dredging,38
1950,fresco,38
2155,gravy,38
2894,madra,38
2935,malt,38
3043,measuring,38
3303,neutral,38
4142,reserve,38
4237,roquefort,38
4404,scraper,38
4831,stand,38
4856,stew,38
5134,them,38
5191,tiny,38
5323,turbinado,38
393,better,37
631,buckwheat,37
1758,fava,37
1910,forest,37
2011,gallon,37
2015,garam,37
2319,hickory,37
2736,leftover,37
3388,oelek,37
4225,rolling,37
4835,starch,37
4975,surface,37
5479,vermicelli,37
5585,wheel,37
194,armagnac,36
375,bench,36
394,between,36
1344,cura,36
1934,frangelico,36
2678,lager,36
2808,liquor,36
2904,mahi,36
3391,offset,36
3662,percent,36
3827,pony,36
3861,pounded,36
4370,savoy,36
4403,scraped,36
4476,several,36
5213,together,36
138,andouille,35
413,biscuit,35
696,cajun,35
1123,compote,35
1267,crookneck,35
1345,curd,35
2813,liter,35
2878,macaroni,35
3088,mexico,35
3709,pickling,35
3748,pinot,35
3750,pinto,35
3896,premium,35
5133,their,35
82,aleppo,34
1075,coco,34
1932,framboise,34
1992,full,34
2998,marshmallow,34
3234,muscle,34
3509,pack,34
3737,pin,34
3966,pumpernickel,34
4496,shaoxing,34
4857,stewed,34
5042,tamari,34
5052,tangerin,34
5454,variety,34
178,approximately,33
355,beefsteak,33
426,blackberry,33
434,blanc,33
496,bonito,33
1139,confit,33
1730,eyed,33
1961,fried,33
2012,game,33
2073,gingersnap,33
2098,gluten,33
2173,grilling,33
2199,guava,33
3492,oven,33
3924,procedure,33
5684,young,33
172,applejack,32
774,caramel,32
1591,duty,32
1801,filling,32
2263,harissa,32
2309,herbed,32
2553,kahl,32
2698,lasagna,32
3100,mignon,32
3902,pres,32
3949,provolone,32
4179,rigatoni,32
4361,sauvignon,32
4544,shortbread,32
4867,stilton,32
5175,tie,32
5362,unavailable,32
5532,walla,32
5641,wonton,32
129,anaheim,31
143,angel,31
409,bird,31
530,bow,31
2014,gano,31
2272,have,31
2286,heat,31
2351,hominy,31
2500,jarred,31
2629,known,31
2881,mace,31
2923,making,31
3036,maytag,31
4253,roughy,31
4779,spoon,31
5636,wok,31
5705,zinfandel,31
408,bing,30
497,bonnet,30
521,bouillon,30
988,chopping,30
1243,crema,30
2676,lady,30
2699,lasagne,30
2839,loose,30
2979,marinara,30
3961,pulp,30
4162,ribbon,30
4573,sieve,30
5151,thicknes,30
5618,will,30
5,above,29
173,applesauce,29
237,attachment,29
368,bella,29
443,blender,29
475,bodi,29
637,bulk,29
1185,cornichon,29
1410,defrosted,29
1578,dulce,29
1608,easy,29
1613,edamame,29
2879,macaroon,29
3445,order,29
4261,rub,29
4566,sichuan,29
4675,snipped,29
4884,stout,29
5277,triangl,29
5351,udon,29
26,acorn,28
27,acros,28
391,best,28
512,both,28
1673,equal,28
1741,farfalle,28
1853,flattened,28
1855,flavor,28
1984,fruity,28
2052,germ,28
2119,gouda,28
2137,granul,28
2153,gratin,28
2549,just,28
3114,milliliter,28
3776,plantain,28
4130,rendered,28
5315,tubular,28
5379,unfiltered,28
5573,weighting,28
5628,winter,28
5681,york,28
175,applewood,27
317,base,27
343,beating,27
550,branch,27
625,brut,27
727,campari,27
832,catfish,27
1416,deli,27
2332,hock,27
2602,kimchi,27
2605,king,27
2640,kombu,27
2911,mail,27
3654,peppermint,27
3780,plate,27
4660,smoke,27
4739,sparerib,27
5100,tel,27
219,asiago,26
340,beard,26
387,berry,26
731,canadian,26
1004,chunky,26
1028,clarified,26
1248,creole,26
1388,dashi,26
1760,favorite,26
1804,filtered,26
1828,first,26
1849,flatbread,26
2057,ghee,26
2517,jerusalem,26
2550,kabocha,26
3132,minute,26
3272,navy,26
3951,prune,26
3989,quail,26
4011,quill,26
4128,remove,26
4183,rimmed,26
5142,thi,26
5474,vera,26
5477,verde,26
1630,elbow,25
1748,farmer,25
2058,gherkin,25
2068,gill,25
2435,individual,25
2447,inner,25
3179,moon,25
3702,picholine,25
3829,pop,25
4174,ridged,25
4448,semi,25
4682,soba,25
4757,spic,25
4833,standing,25
4952,sumac,25
5112,tentacl,25
5377,undrained,25
517,bottomed,24
785,cardboard,24
1069,cob,24
1669,epazote,24
1807,find,24
1890,focaccia,24
2114,goose,24
2262,harina,24
2469,irish,24
2758,lettuc,24
3232,muscat,24
3563,pareve,24
3800,pocket,24
3940,prosecco,24
4248,rotisserie,24
4582,silken,24
4584,silver,24
4768,spiral,24
5430,used,24
5601,whitefish,24
380,benriner,23
442,blended,23
668,buttered,23
1096,coleslaw,23
1437,depending,23
1611,eau,23
1699,evaporated,23
1746,farm,23
1877,floweret,23
2108,gochujang,23
2129,grainy,23
2338,hol,23
2623,knob,23
2837,look,23
3392,often,23
4212,rock,23
4278,rustic,23
4420,seaweed,23
4569,sid,23
4643,sliver,23
4844,steamer,23
5107,ten,23
5493,vie,23
5495,vietnamese,23
261,backbone,22
634,buffalo,22
1105,colored,22
1276,crouton,22
1426,demi,22
1457,diamond,22
1470,dillweed,22
1706,exceed,22
1905,forced,22
2227,hair,22
2245,hand,22
2556,kaiser,22
2918,major,22
3325,noir,22
3797,poached,22
3845,portion,22
4044,range,22
4303,salami,22
4354,sauerkraut,22
4512,sheep,22
4825,stacked,22
5130,thaw,22
5210,toffee,22
5266,tran,22
5342,twine,22
202,arrowroot,21
222,ask,21
330,batch,21
879,chambord,21
1194,cotija,21
1476,dip,21
1618,edible,21
1750,farro,21
1979,frosting,21
2087,glazed,21
2610,kirby,21
2790,liner,21
3072,menthe,21
3327,non,21
3493,ovenproof,21
3690,pez,21
3785,plier,21
4028,rainbow,21
4169,ricer,21
4340,sardin,21
4469,serrated,21
4868,stir,21
4929,substituted,21
5114,teriyaki,21
5293,tropical,21
5337,tweezer,21
5374,under,21
537,boysenberri,20
685,cabernet,20
719,cama,20
740,cane,20
